26-Jul-2016 16:51:28 (-3.929615,-0.142316) loss 0.9949291
26-Jul-2016 17:14:53 (-1.929615,-2.142316) loss 0.3006391
26-Jul-2016 17:38:43 (-0.929615,-0.142316) loss 0.3006391
26-Jul-2016 18:03:23 (-1.929615,0.857684) loss 0.1041956
26-Jul-2016 18:36:13 (-2.929615,-0.142316) loss 0.4017088
26-Jul-2016 18:59:52 (-1.929615,-1.142316) loss 0.2017227
26-Jul-2016 19:23:57 (-1.429615,-0.142316) loss 0.3006391
26-Jul-2016 19:47:23 (-1.929615,0.357684) loss 0.1041956
26-Jul-2016 20:11:05 (-2.429615,-0.142316) loss 0.0050709
26-Jul-2016 20:34:33 (-1.929615,-0.642316) loss 0.0050709
26-Jul-2016 20:57:40 (-1.679615,-0.142316) loss 0.1031537
26-Jul-2016 21:20:35 (-1.929615,0.107684) loss 0.1041956
26-Jul-2016 21:43:42 (-2.179615,-0.142316) loss 0.2025563
26-Jul-2016 22:07:15 (-1.929615,-0.392316) loss 0.0050709
